,Weeknum,Total GMV,Total Purchased GMV,Manual GMV Purchases,Partner GMV Purchases,% Manual,% Partner,Total Creators,Creators joining Last 7 Days,Creators joining Last 30 Days,Aggregate Wishlist Items Value,Wishlist Manual Items Value,Wishlist Partner Items Value,% Manual,% Partner,% Wishlist Conversion,I,#,Top 25 Creators by GMV,0,Total Creator GMV,% of Total GMV by Creator,Weekly GMV Change,Weekly GMV % Change,Top 10 Creators by GMV Increases,I,#,Top 25 Non-Partner Items by GMV,GMV,Change in GMV,Change as a %,Change in Quantity,Change as a %,,#,Top 25 Partner Items by GMV,GMV,Change in GMV,Change as a %,Change in Quantity,Change as a %
Week 20,20, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,13,Em_xlou,14," $10,969.84 ",0.3%, $390.47 ,3.7%,0,I,13,Prada Re-Edition 2005 Re-Nylon bag,3716.16,141.12,0.039473684,0,0,,13,Kawaii Cushion Pads Series (23 VARIANTS) by Subtle Asian Treats,879.78,79.98,0.1,2,0.1
Week 21,21, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,14,K B,15," $10,579.36 ",0.3%, $213.42 ,2.1%,0,I,14,Streaming Pro PC,3667.3392,New Entry,New Entry,New Entry,New Entry,,14,LG 50NANO80UPA 80 Series NanoCell 50 4K 60Hz LED TV 2021,861.99,0,0,0,0
Week 22,22, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,15,Hang Time's Dream Studio,16," $10,215.88 ",0.3%, $-   ,0.0%,0,I,15,3Dio FS (FS-2W-001),3575.04,73.8864,0.021103444,0,0,,15,Cougar Armor S (Black) Luxury Gaming Chair with Breathable Premium PVC Leather and Body-embracing High Back Design,809.97,269.99,0.5,1,0.5
Week 23,23, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,16,Sarah,17," $9,576.06 ",0.3%, $-24.84 ,-0.3%,0,I,16,Valve Index VR Kit on Steam,3501.1536,7.0448,0.002016194,0,0,,16,Multitasking Foldable Ring Light (3 Phone Holders) by Multitasky,750,0,0,0,0
Week 24,24, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,17,Maya,18," $9,562.06 ",0.3%, $-   ,0.0%,0,I,17,Apple Airpods 2nd Gen,3494.1088,134.1088,0.039913333,1,0.04,,17,Cat Condo Climbing Cat Tree with Cat Hammock by Estilo Living,719.8,0,0,0,0
Week 25,25, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,18,Villainess Ren,19," $9,317.44 ",0.3%, $-119.14 ,-1.3%,0,I,18,Online Gift Voucher,3360,New Entry,New Entry,New Entry,New Entry,,18,"Gaming Desk (with 1*Headphone Holder,1*Cup Holder,1*Plug Board holder,1*Game Handles Holder) YF",717.68,0,0,0,0
Week 26,26, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,19,JAZ,20," $9,282.05 ",0.3%, $-35.39 ,-0.4%,0,I,19,Sony FE 12-24mm F2.8 G Master Full-Frame Constant-Aperture Ultra-Wide Zoom Lens (SEL1224GM),3357.76,0,0,0,0,,19,Red Rose Bouquet by BloomsyBox,714.89,0,0,0,0
Week 27,27, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,20,Miss Melody May,21," $9,169.30 ",0.2%, $200.30 ,2.2%,0,I,20,"Shure SM7B Vocal Dynamic Microphone for Broadcast, Podcast Recording, XLR Studio Mic for Music Speech, Wide-Range Frequency, Warm Smooth Sound, Rugged Construction, Detachable Windscreen - Black",3216.64,0,0,0,0,,20,"Giant Erect D Pillows (8 VARIANTS, 4 SIZES) by Subtle Asian Treats",639.84,79.98,0.142857143,2,0.142857143
Week 28,28, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,21,Vesper,22," $9,163.74 ",0.2%, $460.66 ,5.3%,0,I,21,Nintendo Switch – OLED Model w/ White Joy-Con,3127.04,13.44,0.004316547,0,0,,21,Satisfyer Pro 2 Next Generation by TemptingTeaserz LLC,631.92,78.99,0.142857143,1,0.142857143
Week 29,29, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,22,UNREALGRL,23," $8,905.54 ",0.2%, $211.60 ,2.4%,0,I,22,Lovense Lush 3 App Controlled Rechargeable Love Egg Vibrator,3113.6,78.4,0.025830258,0,0,,22,LED Light Tripod Ring Light (26cm) with 50-160cm Tripod,629.82,34.99,0.058823529,1,0.058823529
